Team ID,Team,Year,Pace,Offensive Rating,Defensive Rating,
1610612739,CLE,2021,97.3,105.8,114.4,
1610612739,CLE,2020,98.7,107.5,115.4,
1610612739,CLE,2019,96.6,107.7,117.6,
1610612739,CLE,2018,98,112.9,111.9,
1610612739,CLE,2017,96.2,113.6,110.3,
1610612739,CLE,2016,93.3,110.9,104.5,
1610612744,GSW,2021,102.2,111.1,110.1,
1610612744,GSW,2020,100.3,105.2,113.8,
1610612744,GSW,2019,100.9,115.9,109.5,
1610612744,GSW,2018,99.6,113.6,107.6,
1610612744,GSW,2017,99.8,115.6,104.4,
1610612744,GSW,2016,99.3,114.5,103.8,
